state_name,district_name,district_key,shannon_index,simpson_index,crop_richness,total_cropped_area_x,dominant_crop,dominant_crop_share,top3_crops_share,shannon_index_norm,simpson_index_norm,crop_richness_norm,agro_biodiversity_index,abi_category,irrigation_pct,irrigation_regime,share_cereals,share_drugs_and_narcotics,share_fiber_crops,share_fodder,share_fruits,share_oilseeds,share_pulses,share_spices,share_sugar,share_vegetable,total_kcal_annual,total_cropped_area_y,food_crop_kcal_annual,coconut_kcal,coconut_kcal_share,coconut_dominant,top_crops_by_kcal,kcal_per_hectare,cereal_kcal_share,pulse_kcal_share,oilseed_kcal_share,sugar_kcal_share,vegetable_kcal_share,fruit_kcal_share,spice_kcal_share,food_crop_kcal_share,food_crop_area_share,small_area_flag,log_kcal_per_hectare,kcal_diversity_quadrant,kcal_diversity_quadrant_ex_coconut
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,0.5399,0.2231,18,301911.3,Coconut,0.8788,0.9684,0.1920600476681726,0.2425,0.3863636363636363,0.2736,Low,,,0.0017632329333251,0.0,0.0,0.0,0.0577357265790588,0.8787752682219644,0.0004196596398021,0.058274328426164,0.0003743814450421,0.0026574027546432,275031984304.2541,17843.522509148534,275031984304.2541,270691305882.35294,0.9842175504318825,True,"Coconut(98%), Dry Chillies(2%), Arecanut(0%), Banana(0%), Cashewnut(0%)",15413547.64247041,1.152317314299717e-06,7.499896803704567e-07,0.9842175537860379,8.352794748934881e-08,2.913075120320972e-06,7.8289837987814e-06,0.015769718320100795,1.0,1.0,False,7.187902609141898,Monoculture Breadbasket,Monoculture Breadbasket
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,1.7061,0.72,23,198535.2,Rice,0.45,0.8091,0.606915442353527,0.7826086956521738,0.5,0.6298,Moderate,,,0.4530496992598036,0.0,0.0,0.0,0.0635398819805963,0.2426748109843521,0.0754861292823965,0.1471655271119497,0.0064946685763201,0.0115892828045814,57696272081.75952,16456.427174825174,57696272081.75952,57603969230.76923,0.9984001938485819,True,"Coconut(100%), Rice(0%), Arecanut(0%), Banana(0%), Cowpea(Lobia)(0%)",3506002.3338493863,0.0010160685832660535,0.00015900909658425578,0.9984035592529745,1.257359999144892e-05,4.575792707222512e-05,0.00013455745854950926,0.00022847408156191862,1.0,1.0,False,6.544812200855771,Monoculture Breadbasket,Monoculture Breadbasket
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,1.6127,0.7385,22,168124.7,Coconut,0.3788,0.8467,0.5736900145850379,0.8027173913043478,0.4772727272727273,0.6179,Moderate,,,0.274169952224736,0.0,0.0,0.0,0.0693182070970433,0.3810950755231267,0.0050844415090564,0.2553866874734498,0.009239275190207,0.0057063609823805,78324048816.20778,11373.012111111111,78324048816.20778,69225880000.0,0.8838393960256422,True,"Coconut(88%), Cowpea(Lobia)(12%), Rice(0%), Arecanut(0%), Banana(0%)",6886834.204606834,0.00038403476575352483,0.1154919329996712,0.8838421416019147,1.0712779527467895e-05,1.5402076606519433e-05,9.041354543971511e-05,0.00016536223108680568,1.0,1.0,False,6.838019627795674,Monoculture Breadbasket,Monoculture Breadbasket
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,1.4862,0.57,41,24861065.0,Groundnut,0.6417,0.7989,0.5286898367187222,0.6195652173913042,0.9090909090909092,0.6858,Moderate,58.89638467,Semi-Irrigated (40-60%),0.0808937187525956,0.0001055063409391,0.0195423647377938,0.0,0.0035863708976264,0.7798198508390529,0.1077809418059926,0.0063130843348826,0.0002658373645698,0.0016923249265467,25691930890.192284,1499742.3254867506,25691930890.192284,19366135282.105263,0.7537827874781553,True,"Coconut(78%), Groundnut(9%), Niger Seed(6%), Cashewnut(6%), Rice(2%)",17130.896723778074,0.02675934882867815,0.008676140168376508,0.8967769543819294,0.0004449097471515473,0.0006982516772939238,0.06522332311892104,0.0014210720776493828,0.9803521289212671,0.9803521289212671,False,4.233780096882363,Diverse & Calorie-Rich,Diverse & Calorie-Rich
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,1.7247,0.6983,39,7620596.0,Groundnut,0.5004,0.7722,0.6135320692967166,0.7590217391304348,0.8636363636363636,0.7454,Moderate,51.33630731,Semi-Irrigated (40-60%),0.2311588227482469,0.0001426397620343,0.0007746113296125,0.0,0.0022680640726788,0.5999912605260795,0.0674728065888809,0.0081955532086991,0.0851012178050115,0.0048950239587559,108068145345.92569,436802.4162333979,108068145345.92569,104454975445.26315,0.9665658192884056,True,"Coconut(97%), Groundnut(1%), Sugarcane(1%), Niger Seed(1%), Rice(1%)",247407.38908408722,0.0064765493578752545,0.0004965012083479549,0.9831810545084868,0.009079222924275782,0.00015436932189767078,0.00044746257060459643,0.0001648401085118058,0.9990827489083532,0.9990827489083532,False,5.393412666152133,Diverse & Calorie-Rich,Diverse & Calorie-Rich
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,1.5798,0.5959,42,14248317.0,Rice,0.6222,0.756,0.5619864110134822,0.6477173913043478,0.9318181818181818,0.7138,Moderate,88.54051379,Irrigated (>60%),0.6411437926317894,0.0094592926308419,0.0189589409050907,0.0,0.0592841245741514,0.09127463966446,0.1366255397040927,0.0031444415505354,0.0223931008834236,0.0177161274556145,2353182446086.1836,651519.6044407533,2353182446086.1836,2345567680345.263,0.9967640563724307,True,"Coconut(100%), Rice(0%), Other Oilseeds(0%), Niger Seed(0%), Sugarcane(0%)",3611836.742972748,0.0020822717952762803,4.2562262976544346e-05,0.9974171694381695,0.00020183456918409994,9.331699075293931e-05,0.00015364473690017313,9.20020674057007e-06,0.9715817664640674,0.9715817664640674,False,6.557728111733263,Diverse & Calorie-Rich,Diverse & Calorie-Rich
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,1.9446,0.7852,39,16835282.0,Rice,0.3716,0.7136,0.6917576749315215,0.8534782608695652,0.8636363636363636,0.803,High,70.36886907,Irrigated (>60%),0.4502886853929741,0.0066463989138999,0.2211224023452651,0.0,0.0059946723791142,0.0205589071807647,0.2034359745206525,0.0893234220846434,0.0015062414754917,0.0011232957071939,14881900172.151443,779314.3731229667,14881900172.151443,8544057363.157895,0.5741240879404917,True,"Coconut(61%), Rice(23%), Maize(9%), Dry Chillies(5%), Jowar(2%)",19096.14487477604,0.3156717964703882,0.03392193675532189,0.5836060858736571,0.002406658701586812,0.00041128756633211703,0.011029143739201856,0.05295309089351211,0.772231198740835,0.772231198740835,False,4.280945700828879,Diverse & Calorie-Rich,Diverse & Calorie-Rich
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2.2455,0.8416,41,8685890.0,Groundnut,0.2891,0.6045,0.7987976237060225,0.9147826086956522,0.9090909090909092,0.8742,High,,,0.1950789153443113,0.0004767502236385,0.0550718464083703,0.0,0.0153596234813012,0.4687168499716206,0.2219870387490516,0.0336731181260642,0.0013924882769641,0.0082433694186778,6038570544.478647,431722.911146113,6038570544.478647,3553641110.5263157,0.5884904522272376,True,"Coconut(67%), Groundnut(10%), Rice(9%), Banana(9%), Niger Seed(5%)",13987.14404210747,0.10076507922424471,0.039074199717789734,0.7537149744868984,0.003134164383419774,0.002897763667233152,0.07944432191172501,0.020969496608689242,0.9444514033679912,0.9444514033679912,False,4.145729047345838,Diverse & Calorie-Rich,Diverse & Calorie-Rich
Andhra Pradesh,Karimnagar,ANDHRA PRADESH|KARIMNAGAR,1.6519,0.7236,33,9358077.0,Rice,0.43,0.85,0.5876347337341253,0.7865217391304348,0.7272727272727273,0.7005,Moderate,,,0.6366677683887405,0.00148492045962,0.2174252252893409,0.0,7.693888391813831e-06,0.0437396486479006,0.0638947510263059,0.032853758309533,0.0027474661728045,0.0011787678173624,5212927091.833639,603400.0959582084,5212927091.833639,0.0,0.0,False,"Rice(57%), Maize(33%), Turmeric(7%), Groundnut(3%), Sugarcane(1%)",8639.254661627841,0.861469725399525,0.0148827854853885,0.03254212753440399,0.009654614214505908,0.001362189540887478,0.00842754545115783,0.07166101237413104,0.781089854251039,0.781089854251039,False,3.9364762760084098,Diverse & Calorie-Rich,Diverse & Calorie-Rich
Andhra Pradesh,Khammam,ANDHRA PRADESH|KHAMMAM,1.9231,0.7696,36,6814633.0,Rice,0.3834,0.7073,0.6841094233574045,0.8365217391304347,0.7954545454545454,0.772,High,,,0.4706949002242674,0.0123206928384844,0.2603837946959139,0.0,0.0157785459613158,0.0378680700780218,0.1316850078353449,0.0619807405622577,0.0092599263966232,2.832140777060188e-05,37867017026.62355,460209.70230880234,37867017026.62355,35159116838.181816,0.9284892130125311,True,"Coconut(94%), Rice(4%), Maize(1%), Dry Chillies(1%), Sugarcane(0%)",82282.09191733782,0.05231813543178049,0.004396401384830241,0.9323108520791994,0.0035544759151577014,4.090924590183488e-06,0.0008372892280438632,0.0065787550363981115,0.7272955124656018,0.7272955124656018,False,4.915305324546842,Diverse & Calorie-Rich,Diverse & Calorie-Rich
